indicator,theme_term,theme_name,context,Framework
biochar,compost,soil health,stable organic materials mulch add compost and biochar incorporate high biomass,Cornell-CASH.pdf
biochar,biomass,soil health,compost and biochar incorporate high biomass cover crop reduce tillage mechanical,Cornell-CASH.pdf
biochar,organic,soil health,water capacity low add stable organic materials mulch add compost or,Cornell-CASH.pdf
biochar,compost,soil health,stable organic materials mulch add compost or biochar incorporate high biomass,Cornell-CASH.pdf
biochar,biomass,soil health,compost or biochar incorporate high biomass cover crop reduce tillage rotate,Cornell-CASH.pdf
biochar,organic,soil health,organic matter low add stable organic materials mulch add compost and,Cornell-CASH.pdf
biochar,compost,soil health,stable organic materials mulch add compost and biochar incorporate high biomass,Cornell-CASH.pdf
biochar,biomass,soil health,compost and biochar incorporate high biomass cover crop reduce tillage mechanical,Cornell-CASH.pdf
biochar,biological,soil health,4 4 enhancing ecosystem and biological services 4 4 1 biochar,FAO-ESFSI.pdf
biochar,organic,soil health,to help build up soil organic matter though it is a,FAO-ESFSI.pdf
biochar,organic matter,soil health,to help build up soil organic matter though it is a slow,FAO-ESFSI.pdf
biochar,efficient,soil health,farm system con larger more efficient biochar stoves may be inaccessible,FAO-ESFSI.pdf
biochar,compost,soil health,biochar small bits used in compost and soil potting source michael,FAO-ESFSI.pdf
biochar,manure,soil health,manures like fym well decomposed manure leaf litter biochar tree loppings,govind-DUS.pdf
biochar,manure,soil health,retaining residues controlled traffic green manure cropping organic amendments biochar pasture,UNCCD-LDN.pdf
biochar,organic,soil health,controlled traffic green manure cropping organic amendments biochar pasture phase agroforestry,UNCCD-LDN.pdf
biochar,permaculture,soil health,biochar pasture phase agroforestry intercropping permaculture management of protected areas to,UNCCD-LDN.pdf
biochar,water,soil health,clay to sandy soils biochar water harvesting situations that require counterbalancing,UNCCD-LDN.pdf
biochar,harvesting,soil health,to sandy soils biochar water harvesting situations that require counterbalancing anticipated,UNCCD-LDN.pdf
biochar,manure,soil health,application use of the 4rs manure biochar compost 10 is the,USDA-CFSHAG.pdf
biochar,compost,soil health,of the 4rs manure biochar compost 10 is the field irrigated,USDA-CFSHAG.pdf
biodiversity,groups,biodiversity,and of existing databases indicator groups or mdss used maintenance of,Andrews-SMAF.pdf
biodiversity,water,biodiversity,programme caadp 74 improved soil water and biodiversity management and conservation,CAADP.pdf
biodiversity,conservation,biodiversity,water and biodiversity management and conservation decreased reversed trends in deforestation,CAADP.pdf
biodiversity,ecosystem,biodiversity,payments for land users providing ecosystem services biodiversity carbon sequestration watershed,CAADP.pdf
biodiversity,protection,biodiversity,services biodiversity carbon sequestration watershed protection functions are being developed and,CAADP.pdf
biodiversity,protection,biodiversity,services biodiversity carbon sequestration watershed protection functions are being developed and,CAADP.pdf
biodiversity,water,biodiversity,to biodiversity land soils and water enhanced capacity of policymakers cross,CAADP.pdf
biodiversity,knowledge,biodiversity,comprehensive and critical synthesis of knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,comprehensive and critical synthesis of knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,of knowledge on biodiversity and ecosystem services framed around key policy,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,and trends in biodiversity and ecosystem services in any given country,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,policy platform on biodiversity and ecosystem services ipbes can be tailored,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,planning through reporting a national ecosystem assessment can support biodiversity planning,CBD-NEA.pdf
biodiversity,relevant,biodiversity,planning by providing planners with relevant authoritative comprehensive cross cutting and,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,of actions for biodiversity and ecosystem services at a national level,CBD-NEA.pdf
biodiversity,relevant,biodiversity,datasets and indicators that are relevant and useful in national biodiversity,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,the benefits that biodiversity and ecosystem services provide to sectoral and,CBD-NEA.pdf
biodiversity,conservation,biodiversity,key actors involved in the conservation and sustainable use of biodiversity,CBD-NEA.pdf
biodiversity,sustainable,biodiversity,involved in the conservation and sustainable use of biodiversity and ecosystem,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,sustainable use of biodiversity and ecosystem services in country including businesses,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,comprehensive and critical synthesis of knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,comprehensive and critical synthesis of knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,of knowledge on biodiversity and ecosystem services across the natural and,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,of biodiversity related actions highlighting knowledge gaps and helping to promote,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,of biodiversity related actions highlighting knowledge gaps and helping to promote,CBD-NEA.pdf
biodiversity,biodiversity,biodiversity,of the post 2020 global biodiversity framework and other global biodiversity,CBD-NEA.pdf
biodiversity,biodiversity,biodiversity,biodiversity framework and other global biodiversity related commitments examples of impacts,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,the loss of biodiversity and ecosystem services identifying priority financial actions,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,of change in biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,policy platform on biodiversity and ecosystem services 17 what is ipbes,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,22 the cbd and national ecosystem assessments 22 3 1 biodiversity,CBD-NEA.pdf
biodiversity,indigenous,biodiversity,3 challenges involved in incorporating indigenous and local knowledge in biodiversity,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,in incorporating indigenous and local knowledge in biodiversity related processes 34,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,in incorporating indigenous and local knowledge in biodiversity related processes 34,CBD-NEA.pdf
biodiversity,information,biodiversity,fully consider relevant knowledge and information to capture the value of,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,the value of biodiversity and ecosystem services to society4 this has,CBD-NEA.pdf
biodiversity,decision-making,biodiversity,that support the integration into decision making of knowledge related to biodiversity,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,integration into decision making of knowledge related to biodiversity and ecosystem,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,integration into decision making of knowledge related to biodiversity and ecosystem,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,knowledge related to biodiversity and ecosystem services are crucial to avoid,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,comprehensive and critical synthesis of knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,comprehensive and critical synthesis of knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,of knowledge on biodiversity and ecosystem services framed around key policy,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,and values of biodiversity and ecosystem services to multiple sectors and,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,the integration of biodiversity and ecosystem services across sectors as well,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,policy platform on biodiversity and ecosystem services ipbes carries out global,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,and trends in biodiversity and ecosystem services and their direct and,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,assessment report on biodiversity and ecosystem services from ipbes 2019 global,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,assessment report on biodiversity and ecosystem services p 314,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,and trends of biodiversity and ecosystem services worldwide their impact on,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,the values of biodiversity and ecosystem services into decision making at,CBD-NEA.pdf
biodiversity,decision-making,biodiversity,biodiversity and ecosystem services into decision making at all levels the teeb,CBD-NEA.pdf
biodiversity,economic,biodiversity,highlights the importance of the economic contribution of biodiversity and ecosystem,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,economic contribution of biodiversity and ecosystem services to human well being,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,policy platform on biodiversity and ecosystem services ipbes assessments23 are global,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,methodological and thematic evaluations of knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,methodological and thematic evaluations of knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,of knowledge on biodiversity and ecosystem services and assess their interlinkages,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,assessment report on biodiversity and ecosystem services 2019 24 responded to,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,global assessment of biodiversity and ecosystem services and the effectiveness of,CBD-NEA.pdf
biodiversity,information,biodiversity,biodiversity t argets25 26 more information on ipbes is provided in,CBD-NEA.pdf
biodiversity,indigenous,biodiversity,and social sciences and encompassing indigenous and local knowledge on biodiversity,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,and encompassing indigenous and local knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,and encompassing indigenous and local knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,local knowledge on biodiversity and ecosystem services and their interlinkages to,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,and trends in biodiversity and ecosystem services in a given country,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,that seeks to mobilize available knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,that seeks to mobilize available knowledge on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,available knowledge on biodiversity and ecosystem services as well as to,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,of change in biodiversity and ecosystem services31 it provided a detailed,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,alternative perspective on biodiversity and ecosystem services incentivizing action at both,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,national assessments of biodiversity and ecosystem functions and services 9 cbd,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,policy platform on biodiversity and ecosystem services what is ipbes established,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,policy interface for biodiversity and ecosystem services for the conservation and,CBD-NEA.pdf
biodiversity,conservation,biodiversity,and ecosystem services for the conservation and sustainable use of biodiversity,CBD-NEA.pdf
biodiversity,conservation,biodiversity,and ecosystem services for the conservation and sustainable use of biodiversity,CBD-NEA.pdf
biodiversity,sustainable,biodiversity,services for the conservation and sustainable use of biodiversity and to,CBD-NEA.pdf
biodiversity,quality,biodiversity,between biodiversity and ecosystems and quality of life at different temporal,CBD-NEA.pdf
biodiversity,quality,biodiversity,between biodiversity and ecosystems and quality of life at different temporal,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,of and trends of biodiversity ecosystem functions ecosystem services and their,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,trends of biodiversity ecosystem functions ecosystem services and their interlinkages and,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,and the impacts of biodiversity ecosystem functions and ecosystem services and,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,of biodiversity ecosystem functions and ecosystem services and threats to them,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,science policy interface on biodiversity ecosystem functions and ecosystem services at,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,on biodiversity ecosystem functions and ecosystem services at the regional and,CBD-NEA.pdf
biodiversity,biodiversity,biodiversity,of the strategic plan for biodiversity and the aichi biodiversity t,CBD-NEA.pdf
biodiversity,biodiversity,biodiversity,for biodiversity and the aichi biodiversity t argets thematic assessments which,CBD-NEA.pdf
biodiversity,decision-making,biodiversity,specific methods deemed useful for decision making with respect to biodiversity and,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,with respect to biodiversity and ecosystem services ipbes has carried out,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,and biodiversity ipbes and national ecosystem assessments the ipbes plenary at,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,policy interface of biodiversity and ecosystem services by means of national,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,they can also provide a knowledge base for integrating biodiversity considerations,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,they can also provide a knowledge base for integrating biodiversity considerations,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,provided by the biodiversity and ecosystem services network bes net,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,national assessments of biodiversity and ecosystem services through a promoting and,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,global assessments of biodiversity and ecosystem services c promoting and facilitating,CBD-NEA.pdf
biodiversity,conservation,biodiversity,plans or programs for the conservation and sustainable use of biodiversity,CBD-NEA.pdf
biodiversity,sustainable,biodiversity,programs for the conservation and sustainable use of biodiversity national biodiversity,CBD-NEA.pdf
biodiversity,sustainable,biodiversity,programs for the conservation and sustainable use of biodiversity national biodiversity,CBD-NEA.pdf
biodiversity,biodiversity,biodiversity,conservation and sustainable use of biodiversity national biodiversity strategies and action,CBD-NEA.pdf
biodiversity,biodiversity,biodiversity,sustainable use of biodiversity national biodiversity strategies and action plans nbsaps,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,national assessments of biodiversity and ecosystem functions and services40 noting ongoing,CBD-NEA.pdf
biodiversity,biological,biodiversity,implementation of the convention on biological diversity through six key aspects,CBD-NEA.pdf
biodiversity,diversity,biodiversity,of the convention on biological diversity through six key aspects biodiversity,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,planning key messages a national ecosystem assessment can support biodiversity planning,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,planning key messages a national ecosystem assessment can support biodiversity planning,CBD-NEA.pdf
biodiversity,relevant,biodiversity,planning by providing planners with relevant authoritative comprehensive cross cutting and,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,of actions for biodiversity and ecosystem services at a national level,CBD-NEA.pdf
biodiversity,relevant,biodiversity,datasets and indicators that are relevant and useful in national biodiversity,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,the benefits that biodiversity and ecosystem services provide to sectoral and,CBD-NEA.pdf
biodiversity,conservation,biodiversity,key actors involved in the conservation and sustainable use of biodiversity,CBD-NEA.pdf
biodiversity,sustainable,biodiversity,involved in the conservation and sustainable use of biodiversity and ecosystem,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,sustainable use of biodiversity and ecosystem services in country including businesses,CBD-NEA.pdf
biodiversity,sustainable,biodiversity,background national planning for the sustainable management of biodiversity and ecosystem,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,sustainable management of biodiversity and ecosystem services involves a range of,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,integrating considerations of biodiversity and ecosystem services into national development and,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,also help integrate biodiversity and ecosystem services considerations into national responses,CBD-NEA.pdf
biodiversity,sustainable,biodiversity,other agreements and biodiversity related sustainable development goals sdgs in particular,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,the valuation of biodiversity and ecosystem services engagement across knowledge holders,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,and ecosystem services engagement across knowledge holders sectors and actors also,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,and ecosystem services engagement across knowledge holders sectors and actors also,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,lack of comprehensive and reliable knowledge and data to show how,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,lack of comprehensive and reliable knowledge and data to show how,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,to show how biodiversity and ecosystem services can support and improve,CBD-NEA.pdf
biodiversity,relevant,biodiversity,previous policies and legal frameworks relevant to biodiversity e g absence,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,26 integrating biodiversity and ecosystem services considerations into broader plans,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,the integration of biodiversity and ecosystem services considerations into sectors other,CBD-NEA.pdf
biodiversity,information,biodiversity,reliable comprehensive and cross cutting information to support future biodiversity planning,CBD-NEA.pdf
biodiversity,information,biodiversity,case study 1 it provides information regarding the importance of biodiversity,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,the importance of biodiversity and ecosystem services and related issues that,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,policy coordination around biodiversity and ecosystem services and reduce fragmentation in,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,policy coordination around biodiversity and ecosystem services and reduce fragmentation in,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,effectiveness of existing biodiversity and ecosystem services policies by reviewing their,CBD-NEA.pdf
biodiversity,economic,biodiversity,about the dependencies of key economic sectors on biodiversity and ecosystem,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,economic sectors on biodiversity and ecosystem services which can support the,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,help to integrate biodiversity and ecosystem services considerations into the activities,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,the integration of biodiversity and ecosystem services considerations into sectoral policy,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,an issue regarding biodiversity and ecosystem services and associated policies decisions,CBD-NEA.pdf
biodiversity,diverse,biodiversity,local communities hold detailed and diverse knowledge of biodiversity and ecosystems,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,communities hold detailed and diverse knowledge of biodiversity and ecosystems at,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,communities hold detailed and diverse knowledge of biodiversity and ecosystems at,CBD-NEA.pdf
biodiversity,conservation,biodiversity,make significant contributions to the conservation of biodiversity indigenous peoples and,CBD-NEA.pdf
biodiversity,indigenous,biodiversity,to the conservation of biodiversity indigenous peoples and local communities are,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,and trends of biodiversity and ecosystem services the strategies and actions,CBD-NEA.pdf
biodiversity,decision-making,biodiversity,action for integrating biodiversity into decision making national reporting to international agreements,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,knowl edge on biodiversity and ecosystem services across the natural and,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,biodiversity related ac tions highlighting knowledge gaps and helping to promote,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,biodiversity related ac tions highlighting knowledge gaps and helping to promote,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,the values of biodiversity and ecosystem services addressing conceptual issues such,CBD-NEA.pdf
biodiversity,indigenous,biodiversity,34 challenges involved in incorporating indigenous and local knowledge in biodiversity,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,in incorporating indigenous and local knowledge in biodiversity related processesbox 3,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,in incorporating indigenous and local knowledge in biodiversity related processesbox 3,CBD-NEA.pdf
biodiversity,indigenous,biodiversity,in biodiversity related processesbox 3 indigenous and local knowledge is often,CBD-NEA.pdf
biodiversity,decision-making,biodiversity,at supporting policy development and decision making on biodiversity and ecosystem services,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,decision making on biodiversity and ecosystem services and promoting their integration,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,and trends of biodiversity and ecosystem services and their drivers of,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,multiple values of biodiversity and ecosystem services and the potential implications,CBD-NEA.pdf
biodiversity,indigenous,biodiversity,implications of biodiversity loss mobilizing indigenous and local knowledge as highlighted,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,loss mobilizing indigenous and local knowledge as highlighted in box 2,CBD-NEA.pdf
biodiversity,knowledge,biodiversity,loss mobilizing indigenous and local knowledge as highlighted in box 2,CBD-NEA.pdf
biodiversity,information,biodiversity,biodiversity it provides the necessary information on biodiversity to the department,CBD-NEA.pdf
biodiversity,information,biodiversity,biodiversity it provides the necessary information on biodiversity to the department,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,priorities related to biodiversity and ecosystem services disseminating and facilitating access,CBD-NEA.pdf
biodiversity,working,biodiversity,national level individuals and institutions working on issues related to biodiversity,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,issues related to biodiversity and ecosystem services can be widely dispersed,CBD-NEA.pdf
biodiversity,ecosystem,biodiversity,scientific input on biodiversity and ecosystem services into decision making and,CBD-NEA.pdf
