Framework,BestBackend,P_Synergy,P_Input Reduction,P_Soil Health,P_Animal Health,P_Fairness,P_Economic Diversification,P_Co-creation of Knowledge,P_Social Values and Diets,P_Recycling,P_Land Governance,P_Biodiversity,P_Participation,P_Connectivity
FAO-ALMSFA,PyMuPDF,30.0,38.0,10.0,18.0,25.0,10.0,48.0,18.0,57.0,126.0,81.0,4.0,1.0
FAO-ESFSI,PyMuPDF,21.0,48.0,2.0,46.0,58.0,26.0,490.0,19.0,90.0,91.0,25.0,33.0,17.0
FAO-GSPAF,PyMuPDF,0.0,3.0,112.0,74.0,12.0,0.0,13.0,1.0,16.0,55.0,17.0,3.0,0.0
FAO-PASSM,PyMuPDF,0.0,4.0,61.0,1.0,1.0,1.0,1.0,1.0,24.0,12.0,12.0,0.0,1.0
FAO-TAPE,PyMuPDF,209.0,30.0,24.0,54.0,69.0,105.0,71.0,22.0,59.0,165.0,133.0,36.0,9.0
FAO-VGSSM,PyMuPDF,8.0,19.0,145.0,8.0,3.0,0.0,14.0,6.0,68.0,51.0,23.0,0.0,2.0
FAO-agroecology,pypdf,68.0,12.0,5.0,8.0,12.0,2.0,38.0,7.0,29.0,26.0,36.0,3.0,4.0
FSAT,PyMuPDF,1.0,2.0,2.0,28.0,28.0,13.0,37.0,20.0,7.0,57.0,3.0,9.0,39.0
FtF_GSIAF,pdfplumber,18.0,14.0,13.0,17.0,76.0,37.0,56.0,27.0,55.0,60.0,34.0,29.0,1.0
Gwimire-SHAM4WLE,pypdf,0.0,9.0,149.0,421.0,0.0,0.0,28.0,1.0,210.0,5.0,30.0,0.0,2.0
IDS-SRLF,PyMuPDF,3.0,0.0,1.0,3.0,41.0,17.0,17.0,0.0,2.0,15.0,1.0,1.0,12.0
IFA-G4RNutStewF,pypdf,0.0,12.0,12.0,9.0,1.0,3.0,15.0,2.0,9.0,1.0,2.0,0.0,0.0
IFDC-FSHA,PyMuPDF,26.0,182.0,229.0,585.0,16.0,15.0,59.0,22.0,84.0,124.0,17.0,2.0,8.0
IFPRI-GR,PyMuPDF,0.0,19.0,0.0,5.0,21.0,46.0,69.0,9.0,1.0,41.0,3.0,0.0,3.0
ILM-Practical,PyMuPDF,6.0,0.0,1.0,2.0,1.0,1.0,30.0,0.0,13.0,29.0,6.0,0.0,2.0
ILM_Tool_Guide,PyMuPDF,0.0,0.0,4.0,8.0,14.0,0.0,31.0,0.0,7.0,32.0,15.0,1.0,0.0
IPES-FOOD,PyMuPDF,3.0,2.0,0.0,18.0,6.0,2.0,100.0,26.0,5.0,20.0,6.0,1.0,11.0
Jian-DGSHA,pypdf,5.0,11.0,27.0,76.0,0.0,0.0,16.0,0.0,3.0,3.0,2.0,0.0,0.0
LA4AA,PyMuPDF,189.0,0.0,3.0,3.0,6.0,2.0,26.0,0.0,3.0,90.0,27.0,0.0,7.0
LDN_CF_journal,pypdf,1.0,1.0,3.0,3.0,4.0,0.0,18.0,0.0,8.0,335.0,20.0,1.0,7.0
Lehmann-FPSH,PyMuPDF,0.0,8.0,65.0,349.0,3.0,0.0,22.0,2.0,47.0,11.0,19.0,0.0,5.0
MEA,pdfplumber,10.0,38.0,22.0,107.0,88.0,56.0,163.0,5.0,411.0,327.0,423.0,23.0,92.0
MESMIS,pypdf,16.0,3.0,4.0,0.0,18.0,5.0,14.0,0.0,1.0,3.0,5.0,8.0,2.0
MN-SHAF,PyMuPDF,0.0,1.0,15.0,197.0,1.0,0.0,44.0,0.0,33.0,24.0,7.0,1.0,1.0
Montg-SHOHPH,pypdf,1.0,1.0,15.0,128.0,1.0,0.0,3.0,0.0,2.0,1.0,12.0,0.0,0.0
Nunes-SHAPE,PyMuPDF,1.0,0.0,28.0,160.0,3.0,0.0,5.0,0.0,13.0,29.0,5.0,0.0,2.0
Permaculture,pypdf,45.0,33.0,112.0,41.0,55.0,14.0,175.0,9.0,374.0,432.0,335.0,3.0,12.0
Ploeg-PEAE,pypdf,46.0,5.0,8.0,3.0,76.0,25.0,30.0,0.0,3.0,29.0,6.0,0.0,0.0
Posthumus-FSDST,PyMuPDF,0.0,0.0,5.0,5.0,30.0,7.0,48.0,27.0,2.0,32.0,3.0,1.0,19.0
Ros-OSHAFSSM,pypdf,0.0,3.0,26.0,99.0,1.0,0.0,36.0,0.0,11.0,54.0,7.0,0.0,2.0
SAI-RAAG,PyMuPDF,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0
SI4AF,pypdf,4.0,11.0,105.0,259.0,9.0,3.0,66.0,7.0,64.0,59.0,17.0,9.0,1.0
SKI-LStoolkit,PyMuPDF,13.0,1.0,1.0,4.0,2.0,0.0,109.0,0.0,8.0,47.0,6.0,6.0,0.0
Steve-AESSHF,PyMuPDF,0.0,5.0,32.0,111.0,0.0,0.0,2.0,0.0,37.0,17.0,17.0,0.0,0.0
Stockdale-CFMSH,PyMuPDF,2.0,0.0,40.0,70.0,2.0,0.0,37.0,1.0,28.0,33.0,30.0,0.0,0.0
TEEB,pypdf,0.0,3.0,9.0,20.0,35.0,6.0,16.0,1.0,102.0,81.0,112.0,0.0,2.0
Tittonel-sysageco,pdfplumber,443.0,62.0,244.0,32.0,373.0,115.0,303.0,27.0,255.0,621.0,311.0,29.0,248.0
UNCCD-ILM,PyMuPDF,5.0,0.0,1.0,6.0,7.0,5.0,13.0,3.0,27.0,78.0,15.0,10.0,11.0
UNCCD-LDN,pypdf,5.0,3.0,18.0,5.0,43.0,2.0,72.0,3.0,38.0,1804.0,55.0,14.0,31.0
USDA-CFSHAG,pypdf,1.0,8.0,40.0,119.0,1.0,1.0,0.0,0.0,40.0,6.0,16.0,0.0,0.0
WRI-EHWB,pypdf,17.0,22.0,11.0,98.0,99.0,23.0,221.0,4.0,193.0,277.0,225.0,18.0,59.0
Wezel-TAPE,pypdf,128.0,9.0,1.0,23.0,11.0,3.0,47.0,27.0,12.0,26.0,23.0,11.0,3.0
cgiar-ll,pypdf,26.0,1.0,0.0,0.0,7.0,2.0,55.0,0.0,3.0,12.0,0.0,16.0,0.0
govind-DUS,PyMuPDF,4.0,7.0,49.0,114.0,0.0,0.0,24.0,3.0,24.0,10.0,2.0,0.0,0.0
nestle-RAF,pdfplumber,21.0,50.0,70.0,63.0,7.0,7.0,23.0,6.0,144.0,64.0,66.0,0.0,2.0
sayer-LA,pypdf,3.0,0.0,1.0,1.0,6.0,0.0,30.0,1.0,4.0,56.0,20.0,6.0,4.0
